iter	RMSE
0	8.272200603
1	8.121166159
2	7.978629109
3	7.832321837
4	7.675032675
5	7.546932499
6	7.4333052
7	7.306386725
8	7.170530187
9	7.04270409
10	6.914102567
11	6.811399059
12	6.689993335
13	6.595007726
14	6.482157143
15	6.375716169
16	6.273826075
17	6.163755071
18	6.078179275
19	5.978312212
20	5.886264298
21	5.791836071
22	5.694947083
23	5.625112745
24	5.545814156
25	5.478060266
26	5.378414378
27	5.285035644
28	5.203141161
29	5.124345827
30	5.042615623
31	4.970989142
32	4.908500392
33	4.840147365
34	4.766743707
35	4.702822012
36	4.646180842
37	4.582855006
38	4.509200188
39	4.450216217
40	4.407012174
41	4.353586868
42	4.289426896
43	4.234443688
44	4.180262171
45	4.132215182
46	4.079473489
47	4.024470109
48	3.970996797
49	3.919956469
50	3.875080831
51	3.831296538
52	3.784026612
53	3.745821927
54	3.707387402
55	3.673601063
56	3.633489901
57	3.588646034
58	3.55033244
59	3.511788454
60	3.473674195
61	3.438304619
62	3.402462716
63	3.36572193
64	3.337694552
65	3.305804595
66	3.278577754
67	3.251512824
68	3.223877844
69	3.197897546
70	3.17000533
71	3.140827002
72	3.111008272
73	3.087568501
74	3.062337917
75	3.03921472
76	3.014156639
77	2.987575367
78	2.966997509
79	2.941651043
80	2.914218523
81	2.8905719
82	2.867888544
83	2.847551734
84	2.827297631
85	2.802959236
86	2.78109747
87	2.756582029
88	2.734382137
89	2.715990202
90	2.695654916
91	2.675711805
92	2.659122966
93	2.638941509
94	2.623030901
95	2.607011852
96	2.590501062
97	2.575821252
98	2.560994066
99	2.548477741
100	2.535783629
101	2.522292735
102	2.507642793
103	2.493116393
104	2.480412639
105	2.462996077
106	2.449105163
107	2.434473813
108	2.421222674
109	2.402282543
110	2.390817986
111	2.380380766
112	2.363966132
113	2.353441293
114	2.342410119
115	2.328643981
116	2.316603337
117	2.305568832
118	2.297570105
119	2.287795409
120	2.274275839
121	2.262439583
122	2.251251538
123	2.237746823
124	2.227190271
125	2.214971162
126	2.205344364
127	2.190337992
128	2.183008009
129	2.176693688
130	2.168765963
131	2.159236163
132	2.15098649
133	2.138052867
134	2.128251242
135	2.118766155
136	2.109104367
137	2.096589009
138	2.084729329
139	2.077978744
140	2.068129076
141	2.057765323
142	2.046502936
143	2.037490132
144	2.027214925
145	2.017062122
146	2.007522834
147	2.000460307
148	1.991676444
149	1.985568363
150	1.977703644
151	1.967628667
152	1.960222531
153	1.955008765
154	1.950723261
155	1.941759742
156	1.936552735
157	1.926573037
158	1.920912694
159	1.917797601
160	1.907630139
161	1.90337133
162	1.894720406
163	1.885918789
164	1.879348274
165	1.874707602
166	1.869086049
167	1.861097048
168	1.855733357
169	1.847492465
170	1.84119728
171	1.834165777
172	1.829181269
173	1.826894586
174	1.821876912
175	1.814967288
176	1.807132507
177	1.803570767
178	1.801904411
179	1.793623819
180	1.785310379
181	1.780281375
182	1.775883755
183	1.771031013
184	1.76508889
185	1.756585135
186	1.751520887
187	1.747557315
188	1.743814635
189	1.741085184
190	1.73815033
191	1.736736402
192	1.73128556
193	1.729890488
194	1.727706227
195	1.721138042
196	1.716651169
197	1.712379749
198	1.708154823
199	1.706573856
200	1.700594473
201	1.696614306
202	1.688559893
203	1.683019531
204	1.680309725
205	1.676161108
206	1.674016164
207	1.670233626
208	1.66138114
209	1.655537738
210	1.654211437
211	1.65178206
212	1.645970776
213	1.643133979
214	1.638240953
215	1.636978486
216	1.635318999
217	1.628311085
218	1.625822165
219	1.618602316
220	1.616796737
221	1.614000719
222	1.609535727
223	1.601063053
224	1.599262256
225	1.598102621
226	1.596356917
227	1.589294871
228	1.588222834
229	1.587213784
230	1.57883189
231	1.576809845
232	1.570540459
233	1.569391288
234	1.563592276
235	1.562592613
236	1.554364941
237	1.553414616
238	1.552083581
239	1.549381607
240	1.54795587
241	1.54582993
242	1.544923906
243	1.544028326
244	1.543116913
245	1.536726633
246	1.535611691
247	1.532823027
248	1.524084395
249	1.522828555
250	1.517042933
251	1.515977731
252	1.51493286
253	1.506590714
254	1.505570132
255	1.503218693
256	1.502314487
257	1.501575214
258	1.500762191
259	1.499949452
260	1.497739551
261	1.49677022
262	1.492003328
263	1.490738943
264	1.484449755
265	1.483389215
266	1.482596425
267	1.475475904
268	1.46806009
269	1.462842228
270	1.454278846
271	1.448773419
272	1.446955613
273	1.442211957
274	1.434924003
275	1.428046704
276	1.421237233
277	1.419008322
278	1.411318406
279	1.405517875
280	1.404551247
281	1.401934684
282	1.401217478
283	1.400450949
284	1.399754158
285	1.399069729
286	1.393427566
287	1.391420795
288	1.390753413
289	1.390097866
290	1.385151447
291	1.378837967
292	1.375823199
293	1.371170358
294	1.370388139
295	1.364960852
296	1.359415102
297	1.354255079
298	1.352612638
299	1.346980525
300	1.346343388
301	1.344034353
302	1.339131565
303	1.338377237
304	1.335039832
305	1.334484652
306	1.333895648
307	1.331517237
308	1.326557661
309	1.325984379
310	1.32243
311	1.316548089
312	1.311497404
313	1.309822866
314	1.304282585
315	1.303727616
316	1.302108897
317	1.297684663
318	1.293449934
319	1.286884064
320	1.282608238
321	1.277866856
322	1.273334164
323	1.272793193
324	1.2686974
325	1.267182056
326	1.262385219
327	1.261601368
328	1.261027913
329	1.255472898
330	1.252155136
331	1.248856113
332	1.243800076
333	1.237518495
334	1.237011338
335	1.232341257
336	1.231845213
337	1.22868595
338	1.223681861
339	1.218805378
340	1.217768276
341	1.215527499
342	1.210350197
343	1.206881474
344	1.20276968
345	1.199303668
346	1.198570601
347	1.193141778
348	1.189784543
349	1.189072324
350	1.185987756
351	1.183996073
352	1.180893026
353	1.175447025
354	1.174987862
355	1.171270774
356	1.170577189
357	1.16508066
358	1.164635639
359	1.160150547
360	1.1597137
361	1.156605536
362	1.152916984
363	1.150355594
364	1.146959158
365	1.146464108
366	1.143320145
367	1.142294769
368	1.137680386
369	1.134046896
370	1.129962783
371	1.129317441
372	1.126037331
373	1.120933535
374	1.115450485
375	1.115030122
