iter	Passed	Remaining
0	1	1273
1	1	776
2	2	685
3	2	643
4	3	616
5	3	588
6	3	565
7	4	562
8	5	550
9	5	540
10	5	532
11	6	524
12	6	525
13	7	542
14	8	546
15	8	538
16	9	521
17	9	514
18	9	511
19	10	506
20	10	506
21	11	505
22	11	504
23	12	501
24	12	500
25	13	499
26	13	497
27	14	496
28	14	494
29	15	492
30	15	489
31	16	486
32	16	483
33	16	482
34	17	479
35	17	476
36	18	474
37	18	472
38	19	470
39	19	468
40	19	467
41	20	465
42	20	463
43	21	462
44	21	461
45	22	459
46	22	460
47	23	461
48	23	464
49	24	464
50	24	463
51	25	463
52	25	464
53	26	464
54	26	463
55	27	463
56	27	463
57	28	463
58	29	463
59	29	463
60	30	463
61	30	462
62	31	461
63	31	460
64	31	459
65	32	457
66	32	456
67	33	454
68	33	453
69	34	452
70	34	451
71	34	450
72	35	449
73	35	449
74	36	449
75	36	448
76	37	448
77	37	448
78	38	447
79	38	448
80	39	447
81	39	447
82	40	448
83	41	449
84	41	451
85	42	452
86	43	451
87	43	451
88	44	451
89	44	453
90	45	453
91	46	455
92	46	456
93	47	456
94	47	456
95	48	456
96	48	456
97	49	455
98	50	458
99	50	457
100	51	457
101	51	456
102	52	456
103	52	456
104	53	456
105	54	457
106	54	458
107	55	458
108	55	457
109	56	456
110	56	455
111	57	454
112	57	453
113	58	452
114	58	451
115	59	451
116	59	450
117	60	449
118	60	450
119	61	450
120	61	449
121	62	449
122	62	448
123	63	448
124	64	448
125	64	449
126	65	448
127	65	448
128	66	447
129	66	446
130	67	447
131	67	446
132	68	447
133	69	447
134	69	446
135	70	445
136	70	445
137	71	444
138	71	443
139	72	443
140	72	442
141	73	442
142	73	442
143	74	442
144	75	442
145	75	442
146	76	442
147	76	441
148	77	440
149	77	440
150	78	439
151	78	438
152	79	437
153	79	437
154	80	436
155	80	436
156	81	435
157	81	435
158	82	435
159	82	434
160	83	434
161	83	433
162	84	432
163	84	431
164	85	431
165	85	431
166	86	431
167	87	431
168	87	431
169	88	430
170	88	430
171	89	430
172	89	429
173	90	429
174	91	429
175	91	428
176	92	428
177	92	428
178	93	427
179	93	426
180	94	426
181	94	425
182	95	424
183	95	424
184	96	424
185	96	423
186	97	423
187	97	423
188	98	422
189	98	421
190	99	421
191	100	421
192	100	420
193	101	420
194	101	420
195	102	421
196	103	421
197	103	420
198	104	420
199	104	419
200	105	418
201	105	418
202	106	417
203	106	417
204	107	416
205	107	415
206	108	415
207	108	414
208	109	414
209	109	413
210	110	412
211	110	411
212	111	412
213	112	412
214	112	411
215	113	411
216	114	411
217	114	411
218	115	410
219	115	410
220	116	409
221	116	408
222	116	407
223	117	407
224	118	407
225	118	406
226	119	405
227	119	405
228	120	404
229	120	403
230	121	404
231	121	403
232	122	402
233	122	402
234	123	402
235	124	401
236	124	401
237	125	400
238	125	399
239	126	399
240	126	398
241	127	397
242	127	397
243	128	396
244	128	396
245	129	395
246	129	395
247	130	394
248	130	393
249	131	393
250	131	392
251	132	391
252	132	391
253	133	390
254	133	390
255	134	389
256	134	389
257	135	388
258	135	388
259	136	387
260	136	386
261	136	385
262	137	385
263	137	384
264	138	384
265	139	384
266	139	383
267	140	383
268	141	383
269	141	382
270	142	382
271	142	381
272	143	381
273	143	380
274	144	379
275	144	379
276	145	378
277	145	378
278	146	378
279	147	378
280	147	377
281	148	377
282	148	377
283	149	376
284	149	375
285	150	375
286	150	374
287	151	374
288	151	373
289	152	372
290	152	371
291	153	371
292	153	370
293	154	370
294	154	369
295	155	369
296	155	368
297	156	368
298	156	367
299	157	366
300	157	366
301	158	365
302	158	365
303	159	364
304	159	364
305	160	363
306	160	363
307	161	362
308	162	362
309	162	362
310	163	361
311	163	361
312	164	360
313	164	360
314	165	359
315	165	359
316	166	358
317	166	357
318	167	357
319	167	356
320	168	356
321	169	355
322	169	356
323	170	355
324	171	355
325	171	354
326	172	354
327	172	353
328	173	352
329	173	352
330	173	351
331	174	350
332	174	350
333	175	349
334	175	349
335	176	348
336	176	348
337	177	347
338	177	346
339	178	346
